Date,Refinery Capacity in %
2/26/2016,88.3
2/19/2016,87.3
2/12/2016,88.3
2/5/2016,86.1
1/29/2016,86.6
1/22/2016,87.4
1/15/2016,90.6
1/8/2016,91.2
1/1/2016,92.5
12/25/2015,92.6
12/18/2015,91.3
12/11/2015,91.9
12/4/2015,93.1
11/27/2015,94.5
11/20/2015,92
11/13/2015,90.3
11/6/2015,89.5
10/30/2015,88.7
10/23/2015,87.6
10/16/2015,86.4
10/9/2015,86
10/2/2015,87.5
9/25/2015,89.8
9/18/2015,90.9
9/11/2015,93.1
9/4/2015,90.9
8/28/2015,92.8
8/21/2015,94.5
8/14/2015,95.1
8/7/2015,96.1
7/31/2015,96.1
7/24/2015,95.1
7/17/2015,95.5
7/10/2015,95.3
7/3/2015,94.7
6/26/2015,95
6/19/2015,94
6/12/2015,93.1
6/5/2015,94.6
5/29/2015,93.2
5/22/2015,93.6
5/15/2015,92.4
5/8/2015,91.2
5/1/2015,93
4/24/2015,91.3
4/17/2015,91.2
4/10/2015,92.3
4/3/2015,90.1
3/27/2015,89.4
3/20/2015,89
3/13/2015,88.1
3/6/2015,87.8
2/27/2015,86.6
2/20/2015,87.4
2/13/2015,88.7
2/6/2015,90
1/30/2015,89.9
1/23/2015,88
1/16/2015,85.5
1/9/2015,91
1/2/2015,93.9
12/26/2014,94.4
12/19/2014,93.5
12/12/2014,93.5
12/5/2014,95.4
11/28/2014,93.4
11/21/2014,91.5
11/14/2014,91.2
11/7/2014,90.1
10/31/2014,88.4
10/24/2014,86.6
10/17/2014,86.7
10/10/2014,88.1
10/3/2014,89.3
9/26/2014,89.8
9/19/2014,93.4
9/12/2014,93
9/5/2014,93.9
8/29/2014,93.3
8/22/2014,93.5
8/15/2014,93.4
8/8/2014,91.6
8/1/2014,92.4
7/25/2014,93.5
7/18/2014,93.8
7/11/2014,93.8
7/4/2014,91.6
6/27/2014,91.4
6/20/2014,88.5
6/13/2014,87.1
6/6/2014,87.9
5/30/2014,90.8
5/23/2014,89.9
5/16/2014,88.7
5/9/2014,88.8
5/2/2014,90.2
4/25/2014,91
4/18/2014,91
4/11/2014,88.8
4/4/2014,87.5
3/28/2014,87.7
3/21/2014,86
3/14/2014,85.6
3/7/2014,86
2/28/2014,87.4
2/21/2014,88
2/14/2014,86.8
2/7/2014,87.1
1/31/2014,86.1
1/24/2014,88.2
1/17/2014,86.5
1/10/2014,90
1/3/2014,92.3
12/27/2013,92.4
12/20/2013,92.7
12/13/2013,91.5
12/6/2013,92.6
11/29/2013,92.4
11/22/2013,89.4
11/15/2013,88.6
11/8/2013,88.7
11/1/2013,86.8
10/25/2013,87.3
10/18/2013,85.9
10/11/2013,86.2
10/4/2013,86
9/27/2013,89
9/20/2013,90.3
9/13/2013,92.5
9/6/2013,92.5
8/30/2013,91.7
8/23/2013,91.2
8/16/2013,91
8/9/2013,89.4
8/2/2013,90.9
7/26/2013,91.3
7/19/2013,92.3
7/12/2013,92.8
7/5/2013,92.4
6/28/2013,92.2
6/21/2013,90.2
6/14/2013,89.3
6/7/2013,87.5
5/31/2013,88.4
5/24/2013,86.4
5/17/2013,87.3
5/10/2013,88
5/3/2013,87
4/26/2013,84.4
4/19/2013,83.5
4/12/2013,86.3
4/5/2013,86.8
3/29/2013,86.3
3/22/2013,85.7
3/15/2013,83.5
3/8/2013,81
3/1/2013,82.2
2/22/2013,85.1
2/15/2013,82.9
2/8/2013,83.8
2/1/2013,84.2
1/25/2013,85
1/18/2013,83.6
1/11/2013,87.9
1/4/2013,89.1
12/28/2012,90.4
12/21/2012,90.3
12/14/2012,91.5
12/7/2012,90.4
11/30/2012,90.6
11/23/2012,88.6
11/16/2012,87.5
11/9/2012,86
11/2/2012,85.4
10/26/2012,87.7
10/19/2012,87.2
10/12/2012,87.4
10/5/2012,86.7
9/28/2012,88.2
9/21/2012,87.4
9/14/2012,88.9
9/7/2012,84.7
8/31/2012,86.1
8/24/2012,91.2
8/17/2012,91.2
8/10/2012,92.6
8/3/2012,92.6
7/27/2012,92.2
7/20/2012,93
7/13/2012,92
7/6/2012,92.7
6/29/2012,92
6/22/2012,92.6
6/15/2012,91.9
6/8/2012,92
6/1/2012,91
5/25/2012,89.1
5/18/2012,88.1
5/11/2012,88.3
5/4/2012,86.4
4/27/2012,86
4/20/2012,84.7
4/13/2012,84.6
4/6/2012,83.8
3/30/2012,85.7
3/23/2012,84.5
3/16/2012,82.2
3/9/2012,82.7
3/2/2012,83.9
2/24/2012,83.6
2/17/2012,85.5
2/10/2012,84
2/3/2012,82.8
1/27/2012,81.8
1/20/2012,82.2
1/13/2012,83.7
1/6/2012,85.6
12/30/2011,85
12/23/2011,84.2
12/16/2011,84.9
12/9/2011,85.1
12/2/2011,87.7
11/25/2011,84.6
11/18/2011,85.5
11/11/2011,84.8
11/4/2011,82.6
10/28/2011,85.3
10/21/2011,84.8
10/14/2011,83.1
10/7/2011,84.2
9/30/2011,87.7
9/23/2011,87.8
9/16/2011,88.3
9/9/2011,87
9/2/2011,89
8/26/2011,89.2
8/19/2011,90.3
8/12/2011,89.1
8/5/2011,90
7/29/2011,89.3
7/22/2011,88.3
7/15/2011,90.3
7/8/2011,88
7/1/2011,88.4
6/24/2011,88.1
6/17/2011,89.2
6/10/2011,86.1
6/3/2011,87.2
5/27/2011,86
5/20/2011,86.3
5/13/2011,83.2
5/6/2011,81.7
4/29/2011,82.8
4/22/2011,82.7
4/15/2011,82.5
4/8/2011,81.4
4/1/2011,84.4
3/25/2011,84.1
3/18/2011,84.1
3/11/2011,83.4
3/4/2011,82
2/25/2011,80.9
2/18/2011,79.4
2/11/2011,81.2
2/4/2011,84.7
1/28/2011,84.5
1/21/2011,81.8
1/14/2011,83
1/7/2011,86.4
12/31/2010,88
12/24/2010,87.8
12/17/2010,87.7
12/10/2010,88
12/3/2010,87.5
11/26/2010,82.6
11/19/2010,85.5
11/12/2010,84
11/5/2010,82.4
10/29/2010,81.8
10/22/2010,83.7
10/15/2010,82.5
10/8/2010,81.9
10/1/2010,83.1
9/24/2010,85.8
9/17/2010,87.8
9/10/2010,87.6
9/3/2010,88.2
8/27/2010,87
8/20/2010,87.7
8/13/2010,90
8/6/2010,88.1
7/30/2010,91.2
7/23/2010,90.6
7/16/2010,91.5
7/9/2010,90.5
7/2/2010,89.8
6/25/2010,88.4
6/18/2010,89.4
6/11/2010,87.9
6/4/2010,89.1
5/28/2010,87.5
5/21/2010,87.8
5/14/2010,87.9
5/7/2010,88.4
4/30/2010,89.6
4/23/2010,89
4/16/2010,85.9
4/9/2010,85.6
4/2/2010,84.5
3/26/2010,82.6
3/19/2010,81.1
3/12/2010,80.6
3/5/2010,80.7
2/26/2010,81.9
2/19/2010,81.2
2/12/2010,79.8
2/5/2010,79.1
1/29/2010,77.7
1/22/2010,78.5
1/15/2010,78.4
1/8/2010,81.3
