Date,Stock,Stock_change,Price,Price_change
4/17/2009,1055185,0.004691761,49.8,-0.005717903
4/24/2009,1060609,0.002226699,48.48,-0.011666732
5/1/2009,1068948,0.003401271,51.07,0.022603247
5/8/2009,1067702,-0.000506523,56,0.040022169
5/15/2009,1066938,-0.000310873,58.07,0.015763799
5/22/2009,1069141,0.000895801,60.69,0.019165311
5/29/2009,1084218,0.006081629,64.32,0.025228898
6/5/2009,1082490,-0.00069272,68.1,0.024801076
6/12/2009,1080943,-0.0006211,70.83,0.01707013
6/19/2009,1086257,0.002129795,70.61,-0.00135103
6/26/2009,1090644,0.001750426,68.85,-0.010962267
7/3/2009,1095977,0.002118426,69.36,0.00320514
7/10/2009,1097480,0.000595174,61.48,-0.052375226
7/17/2009,1099337,0.000734231,61.27,-0.001485978
7/24/2009,1104921,0.002200383,65.86,0.031373846
7/31/2009,1102163,-0.0010854,67.07,0.00790658
8/7/2009,1103509,0.000530052,71.57,0.028202711
8/14/2009,1090712,-0.005065788,69.65,-0.011809896
8/21/2009,1087571,-0.001252473,70.96,0.008092486
8/28/2009,1083109,-0.001785454,72.62,0.010042638
9/4/2009,1078090,-0.002017147,68.41,-0.025936654
9/11/2009,1074817,-0.001320491,70.91,0.015587895
9/18/2009,1082867,0.003240592,71.36,0.002747356
9/25/2009,1087478,0.001845361,68.43,-0.018208301
10/2/2009,1091072,0.001432931,68.99,0.003539605
10/9/2009,1085270,-0.002315613,70.86,0.011615003
10/16/2009,1081130,-0.001659879,75.74,0.028924153
10/23/2009,1079524,-0.000645617,80.35,0.02566058
10/30/2009,1071131,-0.003389713,78.51,-0.010060904
11/6/2009,1072101,0.000393113,79.04,0.002921954
11/13/2009,1067941,-0.001688441,78.21,-0.004584646
11/20/2009,1067066,-0.000355978,78.36,0.000832141
11/27/2009,1072485,0.002199945,76.9,-0.008168088
12/4/2009,1068230,-0.001726456,76.84,-0.000338984
12/11/2009,1055550,-0.00518596,71.53,-0.031099131
12/18/2009,1041406,-0.005858735,71.77,0.001454721
12/25/2009,1033280,-0.003402052,75.4,0.0214284
1/1/2010,1028319,-0.002090163,79.07,0.020640393
1/8/2010,1031862,0.001493759,82.37,0.017757327
1/15/2010,1030282,-0.000665507,80.07,-0.012299237
1/22/2010,1024548,-0.002423802,76.82,-0.017995526
1/29/2010,1025319,0.000326695,74.03,-0.016066553
2/5/2010,1027082,0.000746113,74.59,0.003272858
2/12/2010,1024665,-0.001023216,73.91,-0.003977405
2/19/2010,1026108,0.000611172,78.3,0.02505856
2/26/2010,1025758,-0.000148161,79.37,0.005894618
3/5/2010,1020480,-0.002240415,80.19,0.004463833
3/12/2010,1018037,-0.001040935,81.76,0.008420669
3/19/2010,1018388,0.000149711,81.46,-0.001596477
3/26/2010,1021594,0.00136506,80.86,-0.003210669
4/2/2010,1028921,0.003103698,83.29,0.012859125
4/9/2010,1028636,-0.000120312,85.93,0.01355195
4/16/2010,1039380,0.004512636,84.6,-0.006774449
4/23/2010,1052273,0.005354071,83.48,-0.005787923
4/30/2010,1062064,0.004022261,84.24,0.003935918
5/7/2010,1065461,0.001386869,80.22,-0.021235701
5/14/2010,1066661,0.000488859,74.97,-0.029395147
5/21/2010,1072495,0.00236886,69.48,-0.033027701
5/28/2010,1070231,-0.00091775,71.8,0.014264634
6/4/2010,1069938,-0.000118914,72.89,0.006543506
6/11/2010,1074374,0.001796878,73.41,0.003087274
6/18/2010,1077053,0.001081585,76.74,0.019266571
6/25/2010,1080628,0.001439142,77.35,0.003438523
7/2/2010,1080907,0.000112113,74.98,-0.013514882
7/9/2010,1084093,0.001278211,74.4,-0.003372501
7/16/2010,1089222,0.002049864,76.35,0.011236106
7/23/2010,1098220,0.003572944,77.76,0.007947211
7/30/2010,1104322,0.002406376,78.16,0.002228299
8/6/2010,1104448,4.95489E-05,81.81,0.019821842
8/13/2010,1109785,0.002093577,78.18,-0.019710727
8/20/2010,1118706,0.003477117,74.86,-0.018845843
8/27/2010,1122743,0.001564389,73.16,-0.009976126
9/3/2010,1123024,0.000108682,74.03,0.005134053
9/10/2010,1120106,-0.001129914,74.87,0.004900084
9/17/2010,1123403,0.001276456,75.65,0.004501099
9/24/2010,1118289,-0.001981526,74.95,-0.004037295
10/1/2010,1118129,-6.21414E-05,78.42,0.019655201
10/8/2010,1113455,-0.001819242,82.37,0.021342228
10/15/2010,1111433,-0.000789382,82.06,-0.001637553
10/22/2010,1112019,0.00022892,81.32,-0.003934143
10/29/2010,1106559,-0.002137633,82.12,0.004251571
11/5/2010,1094474,-0.004769126,84.98,0.014867786
11/12/2010,1085370,-0.003627636,86.86,0.009503098
11/19/2010,1085113,-0.000102847,82.2,-0.023948007
11/26/2010,1085070,-1.72102E-05,82.65,0.00237104
12/3/2010,1079441,-0.002258847,86.76,0.021076685
12/10/2010,1063806,-0.006336474,88.5,0.008623727
12/17/2010,1057803,-0.002457641,88.25,-0.001228557
12/24/2010,1048644,-0.003776718,90.16,0.009299189
12/31/2010,1042318,-0.002627839,90.97,0.003884292
1/7/2011,1043022,0.000293231,89.53,-0.00692961
1/14/2011,1045386,0.000983211,91.03,0.007215958
1/21/2011,1047782,0.000994254,90.05,-0.004700826
1/28/2011,1053321,0.002289809,87.27,-0.013618741
2/4/2011,1056430,0.001279983,90.68,0.016646535
2/11/2011,1048045,-0.003460795,86.69,-0.019542509
2/18/2011,1035959,-0.005037363,85.34,-0.006816364
2/25/2011,1029430,-0.002745747,96.71,0.054318745
3/4/2011,1023018,-0.002713545,101.03,0.01897897
3/11/2011,1017896,-0.002179867,103.74,0.011495891
3/18/2011,1016998,-0.000383309,99.77,-0.016946271
3/25/2011,1020327,0.00141928,104.62,0.020614743
4/1/2011,1020233,-4.00122E-05,105.54,0.003802374
4/8/2011,1015282,-0.00211268,109.75,0.016987439
4/15/2011,1008543,-0.002892267,108.21,-0.006137132
4/22/2011,1011452,0.001250858,109.75,0.006137132
