Date,Stock,Stock_change,Price,Price_change,Days_of_Supply,DoS_change
4/12/1991,967443,0.004814044,20.8,0.056910569,25.5,0.011904762
4/19/1991,969526,0.002153098,21.49,0.033173077,25.1,-0.015686275
4/26/1991,980979,0.011812989,21.17,-0.014890647,25.3,0.007968127
5/3/1991,983180,0.002243677,21.2,0.0014171,24.7,-0.023715415
5/10/1991,991698,0.008663724,21.66,0.021698113,24.5,-0.008097166
5/17/1991,1000578,0.008954339,20.93,-0.033702678,24.7,0.008163265
5/24/1991,1011949,0.011364431,21.16,0.010989011,24.6,-0.004048583
5/31/1991,1030237,0.018072057,21.22,0.002835539,24.8,0.008130081
6/7/1991,1035306,0.004920227,20.65,-0.026861451,24.8,0
6/14/1991,1043130,0.007557186,19.85,-0.03874092,24.6,-0.008064516
6/21/1991,1043797,0.000639422,20.09,0.01209068,24.2,-0.016260163
6/28/1991,1042635,-0.001113243,20.23,0.006968641,24,-0.008264463
7/5/1991,1041915,-0.000690558,20.79,0.027681661,24.1,0.004166667
7/12/1991,1048036,0.005874759,21.39,0.028860029,24.3,0.008298755
7/19/1991,1050214,0.002078173,21.87,0.022440393,24.2,-0.004115226
7/26/1991,1052759,0.002423316,21.5,-0.016918153,24,-0.008264463
8/2/1991,1055981,0.00306053,21.41,-0.004186047,24,0
8/9/1991,1056717,0.000696982,21.48,0.0032695,24,0
8/16/1991,1056705,-1.14E-05,21.46,-0.000931099,24,0
8/23/1991,1069745,0.012340246,21.96,0.023299161,24.3,0.0125
8/30/1991,1076411,0.006231392,21.98,0.000910747,24.3,0
9/6/1991,1073242,-0.002944043,21.83,-0.006824386,23.4,-0.037037037
9/13/1991,1072777,-0.000433267,21.52,-0.014200641,22.8,-0.025641026
9/20/1991,1079280,0.006061838,21.8,0.013011152,22.9,0.004385965
9/27/1991,1079958,0.000628197,22.2,0.018348624,23.4,0.021834061
10/4/1991,1077191,-0.002562137,22.41,0.009459459,23.6,0.008547009
10/11/1991,1077918,0.000674904,23.04,0.02811245,24.1,0.021186441
10/18/1991,1066457,-0.010632534,23.81,0.033420139,24.3,0.008298755
10/25/1991,1065198,-0.001180545,23.48,-0.013859723,25.3,0.041152263
11/1/1991,1057216,-0.007493443,23.32,-0.00681431,25.2,-0.003952569
11/8/1991,1052724,-0.004248895,23.44,0.005145798,25.9,0.027777778
11/15/1991,1055156,0.002310197,22.55,-0.037969283,26.4,0.019305019
11/22/1991,1053842,-0.001245313,21.92,-0.027937916,25.7,-0.026515152
11/29/1991,1054719,0.000832193,21.32,-0.027372263,25.1,-0.023346304
12/6/1991,1059296,0.004339544,20.56,-0.03564728,25.3,0.007968127
12/13/1991,1056136,-0.002983113,19.67,-0.043287938,24.5,-0.031620553
12/20/1991,1045154,-0.010398282,19.25,-0.021352313,24.1,-0.016326531
12/27/1991,1036177,-0.008589165,18.75,-0.025974026,23.1,-0.041493776
1/3/1992,1042440,0.006044334,19.12,0.019733333,23.4,0.012987013
1/10/1992,1041664,-0.000744407,18.37,-0.039225941,23.7,0.012820513
1/17/1992,1037551,-0.00394849,18.84,0.025585193,23.9,0.008438819
1/24/1992,1029214,-0.008035268,18.8,-0.002123142,24.7,0.033472803
1/31/1992,1015725,-0.013106118,19.05,0.013297872,24.8,0.004048583
2/7/1992,1006390,-0.00919048,19.42,0.019422572,25.1,0.012096774
2/14/1992,997860,-0.008475839,19.49,0.003604531,25.3,0.007968127
2/21/1992,996328,-0.001535286,18.43,-0.054386865,25.6,0.011857708
2/28/1992,1009200,0.01291944,18.56,0.007053717,26.3,0.02734375
3/6/1992,1005530,-0.003636544,18.53,-0.001616379,27.1,0.030418251
3/13/1992,1001487,-0.004020765,18.77,0.01295197,26.4,-0.025830258
3/20/1992,1001320,-0.000166752,19.13,0.019179542,26.3,-0.003787879
3/27/1992,988630,-0.012673271,19.2,0.003659174,25.5,-0.030418251
4/3/1992,982898,-0.005797922,19.72,0.027083333,24.7,-0.031372549
4/10/1992,982424,-0.000482247,20.41,0.034989858,25.1,0.016194332
4/17/1992,990053,0.007765486,20.04,-0.018128368,25.2,0.003984064
4/24/1992,987409,-0.002670564,20.19,0.00748503,25.2,0
5/1/1992,985153,-0.002284768,20.63,0.021792967,25.4,0.007936508
5/8/1992,987401,0.002281879,20.85,0.010664081,25.4,0
5/15/1992,993599,0.006277085,20.79,-0.002877698,25.4,0
5/22/1992,993600,1.01E-06,20.58,-0.01010101,24.9,-0.019685039
5/29/1992,1003498,0.009961755,22,0.068999028,24.4,-0.020080321
6/5/1992,1010204,0.006682624,22.33,0.015,24.1,-0.012295082
6/12/1992,1022485,0.01215695,22.38,0.00223914,24.1,0
6/19/1992,1017251,-0.005118901,22.29,-0.004021448,23.4,-0.029045643
6/26/1992,1023803,0.006440888,22.6,0.013907582,22.4,-0.042735043
7/3/1992,1028015,0.004114073,21.95,-0.028761062,22.3,-0.004464286
7/10/1992,1033882,0.005707115,21.48,-0.021412301,22.4,0.004484305
7/17/1992,1027403,-0.006266673,21.58,0.004655493,21.9,-0.022321429
7/24/1992,1029838,0.002370053,21.87,0.013438369,21.9,0
7/31/1992,1038546,0.008455699,21.96,0.004115226,22.4,0.02283105
8/7/1992,1036067,-0.002386991,21.35,-0.027777778,22.4,0
8/14/1992,1034798,-0.001224824,21.13,-0.01030445,22.4,0
8/21/1992,1041586,0.006559734,21.36,0.010884998,22.8,0.017857143
8/28/1992,1028054,-0.012991726,21.27,-0.004213483,22.5,-0.013157895
9/4/1992,1028077,2.24E-05,21.65,0.017865538,23,0.022222222
9/11/1992,1036065,0.007769846,21.97,0.0147806,23,0
9/18/1992,1042791,0.006491871,22.23,0.01183432,23.1,0.004347826
9/25/1992,1044946,0.002066569,21.85,-0.017094017,22.5,-0.025974026
10/2/1992,1045871,0.000885213,21.78,-0.003203661,22.4,-0.004444444
10/9/1992,1044104,-0.001689501,21.97,0.0087236,22.5,0.004464286
10/16/1992,1046409,0.002207634,22.22,0.011379153,22.8,0.013333333
10/23/1992,1054998,0.008208072,21.63,-0.026552655,22.9,0.004385965
10/30/1992,1052862,-0.002024648,20.95,-0.031437818,23.2,0.013100437
11/6/1992,1054676,0.001722923,20.55,-0.019093079,22.7,-0.021551724
11/13/1992,1047675,-0.006638058,20.37,-0.008759124,22.1,-0.026431718
11/20/1992,1049483,0.001725726,20.35,-0.000981836,22.6,0.022624434
11/27/1992,1053654,0.003974338,20.23,-0.005896806,22.7,0.004424779
12/4/1992,1053084,-0.000540975,19.37,-0.042511122,22.7,0
12/11/1992,1051993,-0.001036005,19.05,-0.016520392,23.3,0.026431718
